number_id,verdict,producer_path,registering_call,t8_coverage,search_evidence,notes
spat1_n_eff_tract_aeolian,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_tract_all,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_tract_inland,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
spat1_n_eff_tract_riverine,PRODUCED,scripts/14_diag/SPAT1_stageA_effective_n.py,scripts/14_diag/SPAT1_stageA_effective_n.py:259,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
t10_bala29ca_aeolian_floor_trend,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:148,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
t10_bala29ca_aeolian_level_deficit,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:151,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 2 other script, 5 non-script",
t10_bala29ca_flood_trend,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:143,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 1 non-script",
t10_bala29ca_inland_floor_trend,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:148,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 2 non-script",
t10_bala29ca_inland_level_deficit,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:151,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 2 other script, 2 non-script",
t10_bala29ca_raw_floor_trend,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:137,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 5 non-script",
t10_bala29ca_riverine_floor_trend,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:148,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
t10_bala29ca_riverine_level_deficit,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:151,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 2 other script, 2 non-script",
t10_bala29ca_water_adjusted_floor_trend,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:132,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 6 non-script",
t10_bala29ca_within_paddock_water_slope,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:140,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 2 non-script",
t10_bala29ca_xsec_residual,PRODUCED,scripts/11_database/build_T10_gateD_register.py; scripts/11_database/write_RPTSCOPE_E_canaries.py,scripts/11_database/build_T10_gateD_register.py:122,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 2 registrar, 2 other script, 10 non-script",
t10_dinan10_xsec_residual,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:127,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 2 other script, 5 non-script",
t10_gap_annual_r_A_all4,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:112,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 2 non-script",
t10_gap_annual_r_B_excl29ca,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:112,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 2 other script, 5 non-script",
t10_gap_annual_r_C_29ca,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:112,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 2 non-script",
t10_gap_annual_slope_A_all4,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:107,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 2 other script, 2 non-script",
t10_gap_annual_slope_B_excl29ca,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:107,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 2 other script, 6 non-script",
t10_gap_annual_slope_C_29ca,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:107,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 3 other script, 5 non-script",
t10_grazed_median_adj_trend,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:158,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 2 non-script",
t10_refset_inland_share_bala26ca,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:162,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
t10_refset_inland_share_bala27ca,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:162,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
t10_refset_inland_share_bala28ca,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:162,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
t10_refset_inland_share_bala29ca,PRODUCED,scripts/11_database/build_T10_gateD_register.py; scripts/11_database/write_RPTSCOPE_E_canaries.py,scripts/11_database/build_T10_gateD_register.py:162,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 2 registrar, 1 other script, 5 non-script",
t10_ungrazed_median_adj_trend,PRODUCED,scripts/11_database/build_T10_gateD_register.py,scripts/11_database/build_T10_gateD_register.py:155,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 2 non-script",
t13_parts_declining_count,PRODUCED,scripts/11_database/register_T13_gateE.py,scripts/11_database/register_T13_gateE.py:111,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 2 other script, 6 non-script",
t13_parts_low_and_falling_count,PRODUCED,scripts/11_database/register_T13_gateE.py,scripts/11_database/register_T13_gateE.py:121,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 3 non-script",
t13_parts_low_and_flat_count,PRODUCED,scripts/11_database/register_T13_gateE.py,scripts/11_database/register_T13_gateE.py:119,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 3 non-script",
t13_parts_persistently_poor_count,PRODUCED,scripts/11_database/register_T13_gateE.py,scripts/11_database/register_T13_gateE.py:110,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 2 other script, 4 non-script",
t13_parts_recovering_count,PRODUCED,scripts/11_database/register_T13_gateE.py; scripts/11_database/write_RPTSCOPE_R2.py,scripts/11_database/register_T13_gateE.py:109,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 2 registrar, 2 other script, 8 non-script",
t13_parts_unremarkable_count,PRODUCED,scripts/11_database/register_T13_gateE.py,scripts/11_database/register_T13_gateE.py:112,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 2 other script, 4 non-script",
t13_recovering_survive_drop2wettest,PRODUCED,scripts/11_database/write_RPTSCOPE_R2.py,scripts/11_database/write_RPTSCOPE_R2.py:111,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 3 other script, 11 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
t1_riverine_contrast_bala_high,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:156,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 2 non-script",
t1_riverine_contrast_bala_low,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:156,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 2 non-script",
t1_riverine_contrast_bala_mid,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:156,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 2 non-script",
t1_riverine_contrast_high,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:156,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
t1_riverine_contrast_low,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:156,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
t1_riverine_contrast_mid,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:156,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 1 non-script",
taskU_denominator_both_valid_ha,ORPHAN_SCRIPT,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 1 other script, 4 non-script",resolves into script(s) that do not write dim_headline_number: scripts/14_lidar/U1_register.py; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
taskU_denominator_census_x_lidar_ha,ORPHAN_SCRIPT,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 1 other script, 5 non-script",resolves into script(s) that do not write dim_headline_number: scripts/14_lidar/U1_register.py; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_floor_deficit_not_grazed,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:129,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 3 non-script",
three_arm_floor_deficit_unzoned_inferred,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:129,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 2 non-script",
three_arm_floor_deficit_unzoned_inferred_aeolian,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:129,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 2 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_floor_deficit_unzoned_inferred_inland,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:129,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 2 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_floor_deficit_unzoned_inferred_riverine,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:129,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 2 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_floor_deficit_unzoned_plot,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:129,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 1 other script, 2 non-script",
three_arm_floor_deficit_unzoned_plot_aeolian,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:129,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 2 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_floor_deficit_unzoned_plot_inland,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:129,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 2 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_floor_deficit_unzoned_plot_riverine,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:129,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 2 other script, 2 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_mean_deficit_unzoned_inferred_aeolian,ORPHAN_SCRIPT,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 0 registrar, 1 other script, 1 non-script",resolves into script(s) that do not write dim_headline_number: scripts/12_zone_stratum/T6_gateE_figures.R; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_mean_deficit_unzoned_inferred_inland,ORPHAN_SCRIPT,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 0 registrar, 1 other script, 1 non-script",resolves into script(s) that do not write dim_headline_number: scripts/12_zone_stratum/T6_gateE_figures.R; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_mean_deficit_unzoned_inferred_riverine,ORPHAN_SCRIPT,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 0 registrar, 1 other script, 1 non-script",resolves into script(s) that do not write dim_headline_number: scripts/12_zone_stratum/T6_gateE_figures.R; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_mean_deficit_unzoned_plot_aeolian,ORPHAN_SCRIPT,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 0 registrar, 1 other script, 1 non-script",resolves into script(s) that do not write dim_headline_number: scripts/12_zone_stratum/T6_gateE_figures.R; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_mean_deficit_unzoned_plot_inland,ORPHAN_SCRIPT,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 0 registrar, 1 other script, 1 non-script",resolves into script(s) that do not write dim_headline_number: scripts/12_zone_stratum/T6_gateE_figures.R; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_mean_deficit_unzoned_plot_riverine,ORPHAN_SCRIPT,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 0 registrar, 1 other script, 1 non-script",resolves into script(s) that do not write dim_headline_number: scripts/12_zone_stratum/T6_gateE_figures.R; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_standard_at_or_above_count,ORPHAN_SCRIPT,,,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 2 other script, 6 non-script",resolves into script(s) that do not write dim_headline_number: scripts/12_zone_stratum/regen_RPTSCOPE_claim_audit.py; scripts/13_pack/PACK1_build_workbook.py; T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
three_arm_unzoned_inferred_above_14day_count,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:137,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 2 other script, 6 non-script",
three_arm_unzoned_plot_above_14day_count,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:137,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal+template; 1 registrar, 2 other script, 4 non-script",
total_no_management_zone_ha,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:198,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 4 non-script",
unzoned_inland_floor_offset_inrange,PRODUCED,scripts/11_database/register_UNZONED_v3_headline_number.py,scripts/11_database/register_UNZONED_v3_headline_number.py:39,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 0 other script, 2 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
unzoned_inside_mapped_ha,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:190,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 7 non-script",
